index,content
有顾客说淘宝上找不到人康益生菌了，是不是下架了？,人康益生菌目前在淘宝下架了，可以在京东上购买。
空腹服用肽是否适合老年人？,不适合，特别要注意基础病因素
这位客户的红包每次都显示发送成功了，但是他的手机上又显示没收到，是怎么回事,客户反馈红包发送成功但手机未收到，可能是网络问题或手机设置的原因，建议客户检查手机网络连接及相关设置，并联系技术部进行进一步排查。
保健品储存方式错误会导致什么问题？,保健品储存方式错误可能导致潮湿，导致食用安全问题。
人康二十周年庆典直播间的抽奖是什么形式？,人康二十周年庆典直播间的抽奖采用大屏滚动抽奖，共计有 100 个 20元、30 个 66元、20 个 200元奖励。
人康二十周年庆典直播的开始时间和结束时间是？,人康二十周年庆典的直播在 14：00 开启，14：15分开始预热互动抽奖，14：30分正式开始，预计16：00结束。
人康二十周年庆典直播使用的视频内容会在什么时候上传至微盘？,人康二十周年庆典直播使用的视频内容会在直播结束后上传至微盘，供大家及时查阅使用。
辅酶Q10为何搜不到且买不到了？,平台正在确认库存，并将会重新上架产品。
服用肽半个月后出现小疙瘩怎么回事，需要改变服用量吗？,可以尝试减少服用量并且水溶液稀释后分次服用
牦牛肽的作用是什么？,牦牛肽本身是牦牛骨头中提取的，能生髓养神经，针对神经衰弱和失眠效果好。
为什么服用还原型辅酶会导致肚胀？,这里的还原型辅酶导致肚胀的原因需要进一步了解服用人的情况和服用量，建议咨询专业人士获取更准确的解答。
灵芝孢子粉会导致顾客心慌吗？,灵芝孢子粉可能对个体产生不同反应，如果出现心慌等异常症状，建议及时就医并停止使用。
肾有问题的能否服用肽？,肾有问题的不能服用肽。
过度服用蛋白质会对肾小球造成什么影响？,过度服用蛋白质会给肾小球增加工作负担。
蓝莓片剂和冲剂有什么区别？,冲剂容易氧化反应，适用于吸收缓慢的中药颗粒剂型等；片剂通过包衣减缓有效成分和空气接触，缓慢释放有效成分，更适合保留标志性成分。
吃三宝丸过敏，出现疹子，如何解释给顾客？,建议向顾客解释，三宝丸可能会引起过敏反应，不同人对不同保健品成分的耐受程度可能不同，建议停止食用并及时就医。
大便不成型，吃益生菌该怎么去吃？,益生菌建议在早中晚饭后半小时每次2袋，水温不超过37℃，与消炎药、灭菌药物间隔2小时以上。
服用咱们还原型辅酶Q10后出现心慌，乏力，不想动，吃了速效和丹参滴丸有所缓解，还能继续服用辅酶Q10吗？,建议咨询医生，因为病症较复杂，需医生指导后继续服用辅酶Q10。
顾客吃2000亿益生菌烧心，喝1356亿没有这种情况，怎么回事儿呢？,正常情况下服用益生菌不会引起烧心，建议咨询医生并在医生指导下进行治疗，改善日常饮食，避免刺激肠胃。
服用灵芝孢子粉后大便颜色变成黑色了？怎么回事？,服用灵芝孢子粉后排泄物为棕黑色，这是正常现象，类似于服用红心火龙果后的情况。
服用磷虾油大便带油，是什么原因？,服用磷虾油大便带油的原因
