question,answer,source
收货人是谁？,收货人是庞李娟。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_151.txt
订单有什么异常？,订单有异常，订单详情发下。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_151.txt
30号下午6点后的单子为什么没法发货？,30号下午6点后的单子都没法发。当时库存不够，再等到11月25日发货。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_151.txt
视频答题红包要问谁？,视频答题红包要问谁呀，还有好几单不动。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_151.txt
益生菌订购方式是什么？,益生菌每盒添加9000亿CFU，包含20种益生菌菌株、6种专利菌株以及5种益生元。厂家指导价格为189元1盒，直播间福利价格为89元6盒，并赠送一双量子能量袜。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_92.txt
有顾客说淘宝上找不到人康益生菌了，是不是下架了？,人康益生菌目前在淘宝下架了，可以在京东上购买。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_92.txt
保健品店长群中正在讨论的是什么？,保健品店长群中正在为邵称心的父亲筹款，并祝愿他早日康复。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_22.txt
谁是正在筹款的人的父亲？,正在筹款的人是邵称心，她正在为她的父亲筹款。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_22.txt
保健品店长群中的成员们在讨论什么帮助？,保健品店长群中的成员们在讨论帮助邵称心筹款，祝愿她的父亲早日康复。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_22.txt
谁有还原型辅酶Q10的说明书？,很抱歉，没有在对话记录中找到相关的答案,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_16.txt
图片拍摄不清楚，无法辨认,很抱歉，没有在对话记录中找到相关的答案,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_16.txt
胡椒碱的配方适用于哪些人群？,适用于性肥胖人群的心脏问题、高脂症,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_52.txt
